Rk,Player,Pos,Tm,VORP▼
1,James Harden\hardeja01,SG,HOU,7.3
2,Giannis Antetokounmpo\antetgi01,PF,MIL,6.6
3,LeBron James\jamesle01,PG,LAL,6.1
4,Damian Lillard\lillada01,PG,POR,5.9
5,Nikola Jokić\jokicni01,C,DEN,5.5
6,Anthony Davis\davisan02,PF,LAL,5.4
7,Luka Dončić\doncilu01,PG,DAL,5.4
8,Kawhi Leonard\leonaka01,SF,LAC,5.1
9,Jimmy Butler\butleji01,SF,MIA,3.7
10,Chris Paul\paulch01,PG,OKC,3.5
11,Jayson Tatum\tatumja01,PF,BOS,3.4
12,Bam Adebayo\adebaba01,PF,MIA,3.3
13,Rudy Gobert\goberru01,C,UTA,3.3
14,Nikola Vučević\vucevni01,C,ORL,3.1
15,Trae Young\youngtr01,PG,ATL,3.1
16,Khris Middleton\middlkh01,SF,MIL,2.9
17,Domantas Sabonis\sabondo01,PF,IND,2.9
18,Karl-Anthony Towns\townska01,C,MIN,2.9
19,Kemba Walker\walkeke02,PG,BOS,2.9
20,Kyle Lowry\lowryky01,PG,TOR,2.8
21,Ben Simmons\simmobe01,PG,PHI,2.8
22,Devin Booker\bookede01,SG,PHO,2.6
23,Hassan Whiteside\whiteha01,C,POR,2.6
24,Bradley Beal\bealbr01,SG,WAS,2.5
25,Joel Embiid\embiijo01,C,PHI,2.5
26,Paul George\georgpa01,SF,LAC,2.5
27,Danilo Gallinari\gallida01,PF,OKC,2.4
28,Zach LaVine\lavinza01,SG,CHI,2.4
29,DeMar DeRozan\derozde01,SF,SAS,2.3
30,Donovan Mitchell\mitchdo01,SG,UTA,2.3
31,Fred VanVleet\vanvlfr01,PG,TOR,2.3
32,Shai Gilgeous-Alexander\gilgesh01,SG,OKC,2.2
33,Montrezl Harrell\harremo01,C,LAC,2.2
34,Al Horford\horfoal01,C,PHI,2.2
35,Brandon Ingram\ingrabr01,PF,NOP,2.2
36,Steven Adams\adamsst01,C,OKC,2.1
37,Jarrett Allen\allenja01,C,BRK,2.0
38,Gordon Hayward\haywago01,SF,BOS,2.0
39,Jrue Holiday\holidjr01,SG,NOP,2.0
40,Pascal Siakam\siakapa01,PF,TOR,2.0
41,Jonas Valančiūnas\valanjo01,C,MEM,2.0
42,Nemanja Bjelica\bjeline01,PF,SAC,1.9
43,Spencer Dinwiddie\dinwisp01,SG,BRK,1.9
44,Brook Lopez\lopezbr01,C,MIL,1.9
45,Tobias Harris\harrito02,PF,PHI,1.8
46,Kevin Love\loveke01,PF,CLE,1.8
47,Kristaps Porziņģis\porzikr01,PF,DAL,1.8
48,Mitchell Robinson\robinmi01,C,NYK,1.8
49,Russell Westbrook\westbru01,PG,HOU,1.8
50,OG Anunoby\anunoog01,SF,TOR,1.7
