Rk,Player,Pos,Age,Tm,TS%,3PAr,FTr,USG%,OBPM▼
1,Damian Lillard\lillada01,PG,29,POR,.627,.500,.384,30.3,8.3
2,James Harden\hardeja01,SG,30,HOU,.626,.557,.528,36.3,8.1
3,Giannis Antetokounmpo\antetgi01,PF,25,MIL,.613,.237,.508,37.5,7.4
4,Luka Dončić\doncilu01,PG,20,DAL,.585,.431,.448,36.8,7.4
5,Karl-Anthony Towns\townska01,C,24,MIN,.642,.445,.363,28.8,7.0
6,LeBron James\jamesle01,PG,35,LAL,.577,.326,.292,31.5,6.6
7,Kawhi Leonard\leonaka01,SF,28,LAC,.589,.287,.355,33.0,6.5
8,Trae Young\youngtr01,PG,21,ATL,.595,.455,.448,34.9,6.2
9,Nikola Jokić\jokicni01,C,24,DEN,.605,.238,.281,26.6,5.5
10,Anthony Davis\davisan02,PF,26,LAL,.610,.199,.479,29.3,5.4
11,Bradley Beal\bealbr01,SG,26,WAS,.579,.369,.351,34.4,5.3
12,Kemba Walker\walkeke02,PG,29,BOS,.575,.532,.272,27.2,4.9
13,Danilo Gallinari\gallida01,PF,31,OKC,.612,.537,.365,24.6,4.1
14,Jimmy Butler\butleji01,SF,30,MIA,.585,.157,.693,25.1,4.0
15,Derrick Rose\rosede01,PG,31,DET,.555,.195,.185,31.6,3.9
16,Paul George\georgpa01,SF,29,LAC,.589,.487,.277,29.6,3.8
17,D'Angelo Russell\russeda01,PG,23,TOT,.556,.509,.235,31.5,3.8
18,John Collins\collijo01,PF,22,ATL,.659,.243,.248,22.7,3.7
19,Joel Embiid\embiijo01,C,25,PHI,.590,.215,.543,32.9,3.7
20,Nikola Vučević\vucevni01,C,29,ORL,.549,.280,.162,25.8,3.7
21,Jayson Tatum\tatumja01,PF,21,BOS,.567,.383,.255,28.6,3.5
22,Christian Wood\woodch01,PF,24,DET,.659,.276,.476,23.0,3.5
23,Devin Booker\bookede01,SG,23,PHO,.618,.310,.397,30.0,3.4
24,Khris Middleton\middlkh01,SF,28,MIL,.619,.374,.240,26.4,3.4
25,Zach LaVine\lavinza01,SG,24,CHI,.568,.404,.279,31.7,3.2
26,Chris Paul\paulch01,PG,34,OKC,.610,.343,.315,23.3,3.0
27,Dāvis Bertāns\bertada01,PF,27,WAS,.628,.774,.200,19.0,2.7
28,Spencer Dinwiddie\dinwisp01,SG,26,BRK,.541,.392,.437,29.2,2.7
29,Gordon Hayward\haywago01,SF,29,BOS,.595,.317,.207,21.1,2.6
30,Kevin Love\loveke01,PF,31,CLE,.599,.536,.301,23.1,2.6
31,Devonte' Graham\grahade01,PG,24,CHO,.537,.607,.242,24.8,2.5
32,Montrezl Harrell\harremo01,C,26,LAC,.607,.022,.432,25.7,2.5
33,Buddy Hield\hieldbu01,SG,27,SAC,.566,.592,.117,27.2,2.5
34,Brandon Ingram\ingrabr01,PF,22,NOP,.587,.350,.336,28.1,2.5
35,Hassan Whiteside\whiteha01,C,30,POR,.644,.010,.340,19.6,2.5
36,Jordan Clarkson\clarkjo01,SG,27,TOT,.574,.476,.190,26.3,2.4
37,Donovan Mitchell\mitchdo01,SG,23,UTA,.558,.352,.240,30.8,2.4
38,Malcolm Brogdon\brogdma01,PG,27,IND,.541,.309,.250,25.2,2.3
39,DeMar DeRozan\derozde01,SF,30,SAS,.603,.033,.430,26.3,2.3
40,De'Aaron Fox\foxde01,PG,22,SAC,.558,.227,.420,29.8,2.3
41,CJ McCollum\mccolcj01,SG,28,POR,.541,.378,.136,25.9,2.3
42,J.J. Redick\redicjj01,SG,35,NOP,.644,.629,.293,20.4,2.3
43,Kyle Lowry\lowryky01,PG,33,TOR,.590,.580,.427,23.1,2.2
44,Lou Williams\willilo02,SG,33,LAC,.546,.337,.362,28.4,2.2
45,Jonas Valančiūnas\valanjo01,C,27,MEM,.631,.123,.271,21.5,2.1
46,Jamal Murray\murraja01,PG,22,DEN,.559,.362,.207,25.2,2.0
47,Domantas Sabonis\sabondo01,PF,23,IND,.586,.079,.349,23.3,2.0
48,Steven Adams\adamsst01,C,26,OKC,.604,.006,.421,17.3,1.9
49,Ivica Zubac\zubaciv01,C,22,LAC,.651,.005,.431,16.4,1.9
50,LaMarcus Aldridge\aldrila01,C,34,SAS,.571,.198,.241,23.4,1.8
51,Kristaps Porziņģis\porzikr01,PF,24,DAL,.551,.432,.304,27.0,1.8
52,Seth Curry\curryse01,SG,29,DAL,.643,.559,.169,18.4,1.7
53,Rudy Gobert\goberru01,C,27,UTA,.699,.000,.724,16.2,1.7
54,Bojan Bogdanović\bogdabo02,SF,30,UTA,.603,.489,.296,25.5,1.6
55,Jrue Holiday\holidjr01,SG,29,NOP,.537,.344,.181,24.5,1.6
56,Mitchell Robinson\robinmi01,C,21,NYK,.726,.000,.434,13.3,1.6
57,Russell Westbrook\westbru01,PG,31,HOU,.536,.166,.297,34.4,1.6
58,Ja Morant\moranja01,PG,20,MEM,.556,.191,.329,25.9,1.5
59,Duncan Robinson\robindu01,SG,25,MIA,.684,.882,.105,16.0,1.5
60,Bam Adebayo\adebaba01,PF,22,MIA,.598,.018,.484,21.2,1.4
61,Jarrett Allen\allenja01,C,21,BRK,.664,.013,.581,14.9,1.4
62,Goran Dragić\dragigo01,PG,33,MIA,.573,.467,.340,25.9,1.4
63,Evan Fournier\fournev01,SG,27,ORL,.595,.467,.237,23.9,1.4
64,Doug McDermott\mcderdo01,PF,28,IND,.620,.537,.106,19.6,1.4
65,Larry Nance Jr.\nancela02,C,27,CLE,.608,.369,.172,15.2,1.4
66,Shai Gilgeous-Alexander\gilgesh01,SG,21,OKC,.568,.247,.352,23.7,1.3
67,Tobias Harris\harrito02,PF,27,PHI,.556,.304,.184,23.9,1.3
68,Al Horford\horfoal01,C,33,PHI,.536,.399,.113,17.5,1.3
69,Pascal Siakam\siakapa01,PF,25,TOR,.554,.331,.274,28.1,1.3
70,Ben Simmons\simmobe01,PG,23,PHI,.602,.011,.461,20.9,1.3
71,Will Barton\bartowi01,SF,29,DEN,.549,.390,.180,20.1,1.2
72,Nemanja Bjelica\bjeline01,PF,31,SAC,.602,.490,.129,17.0,1.2
73,Bogdan Bogdanović\bogdabo01,SG,27,SAC,.565,.576,.151,22.6,1.2
74,Alec Burks\burksal01,SG,28,TOT,.561,.392,.345,23.8,1.2
75,Tim Hardaway Jr.\hardati02,SG,27,DAL,.581,.580,.206,21.1,1.2
76,Patty Mills\millspa02,PG,31,SAS,.592,.674,.187,20.4,1.2
77,Norman Powell\powelno01,SG,26,TOR,.624,.457,.256,21.5,1.2
78,Fred VanVleet\vanvlfr01,PG,25,TOR,.553,.484,.256,21.7,1.2
79,T.J. Warren\warretj01,SF,26,IND,.610,.227,.205,23.3,1.2
80,Derrick White\whitede01,SG,25,SAS,.593,.391,.382,18.9,1.2
81,Dennis Schröder\schrode01,PG,26,OKC,.575,.337,.245,27.2,1.1
82,Andrew Wiggins\wiggian01,SF-SG,24,TOT,.536,.342,.274,27.4,1.1
83,Jaylen Brown\brownja02,SF,23,BOS,.583,.381,.274,24.7,1.0
84,Eric Bledsoe\bledser01,PG,30,MIL,.571,.306,.304,23.7,0.8
85,Terry Rozier\roziete01,PG,25,CHO,.553,.450,.202,23.7,0.8
86,Mike Conley\conlemi01,PG,32,UTA,.537,.451,.245,23.1,0.7
87,Julius Randle\randlju01,PF,25,NYK,.538,.230,.350,27.6,0.7
88,Ricky Rubio\rubiori01,PG,29,PHO,.535,.312,.327,20.4,0.7
89,Caris LeVert\leverca01,SG,25,BRK,.514,.301,.269,29.5,0.6
90,Marcus Morris\morrima03,SF-PF,30,TOT,.570,.430,.272,21.9,0.6
91,Daniel Theis\theisda01,C,27,BOS,.631,.225,.268,14.4,0.6
92,Joe Harris\harrijo01,SF,28,BRK,.606,.518,.114,18.3,0.4
93,Maxi Kleber\klebima01,C,28,DAL,.605,.621,.181,13.9,0.4
94,Monte Morris\morrimo01,PG,24,DEN,.545,.304,.157,17.5,0.4
95,Jaren Jackson Jr.\jacksja02,C,20,MEM,.593,.489,.247,24.0,0.3
96,Collin Sexton\sextoco01,SG,21,CLE,.560,.235,.246,27.2,0.3
97,Lauri Markkanen\markkla01,PF,22,CHI,.560,.536,.259,21.1,0.2
98,Cody Zeller\zelleco01,C,27,CHO,.576,.157,.374,20.8,0.2
99,Lonzo Ball\balllo01,PG,22,NOP,.517,.575,.111,18.5,0.1
100,Dorian Finney-Smith\finnedo01,PF,26,DAL,.595,.580,.207,12.9,0.1
